ID_Categoria,Descripcion
E1390,MAESTRO DE MISIONES CULTURALES DE TIEMPO COMPLETO CON FORTALECIMIENTO
E1400,"INSPECTOR DE MUSICA, EN EL DISTRITO FEDERAL."
E1401,"INSPECTOR DE MUSICA, FOR.EO"
E1403,"INSPECTOR GENERAL DE ASUNTOS INDIGENAS, FORANEO"
E1405,JEFE DE BRIGADA DE MEJORAMIENTO INDIGENA MAESTRO NORMALISTA
E1411,JEFE DE ZONA DE SUPERVISION DE EDUCACION INDIGENA.
E1421,"DIRECTOR DE CENTRO DE INTEGRACION SOCIAL INDIGENA, MAESTRO N"
E1425,DIRECTOR DE PREESCOLAR INDIGENA
E1435,"PROFESOR A DE ENSEÑANZAS AGROPECUARIAS, FORANEO."
E1437,"PROFESOR B DE ENSEÑANZAS AGROPECUARIAS, FORANEO."
E1438,"PROFESOR C DE ENSEÑANZAS AGROPECUARIAS, EN EL DISTRITO FEDER"
